Avd,Areal,Ålder,Huggningsklass,Målklassning,SI,Virkesförråd m3/ha,Virkesförråd avd,Tall,Gran,Löv,Stammar/ha,Medelstamvolym,Beskrivning
1,4,21,R2,PG,G24,51,204,10,70,20,0,0,
2,0.9,66,G1,PG,T18,104,94,30,60,10,0,0,Delvis försumpat
3,0.1,66,G2,PG,G24,257,26,10,80,10,0,0,
4,5.1,21,R2,PG,T22,16,82,70,20,10,0,0,Omfattande älgskador
5,0.2,96,S1,PG,T18,183,37,70,20,10,0,0,
6,0.9,116,S2,PG,T20,263,237,100,0,0,0,0,
7,0.9,46,G2,PG,T22,180,162,60,30,10,0,0,
8,1.6,41,G1,PG,T22,155,248,50,40,10,0,0,
9,0.1,,,,,,,,,,,,
10,2.7,,,,,,,,,,,,
11,0.9,116,S2,PG,T18,223,201,80,20,0,0,0,
12,3.1,56,G2,PG,G24,317,983,20,70,10,0,0,
13,0.8,96,S2,PG,G24,286,229,0,80,20,0,0,Torkskador och vindfällen
14,2,43,G1,PG,T24,207,414,60,40,0,0,0,
15,2.4,37,G1,PG,G22,78,187,0,90,10,0,0,
16,0.9,66,G2,PG,G22,256,230,40,60,0,0,0,
17,3,46,G1,PG,T24,177,531,80,0,20,0,0,Gallrat 2016
18,0.1,,,,,,,,,,,,
19,2,21,R2,PG,G22,30,60,0,90,10,0,0,Luckigt
20,4.5,101,S2,PG,T22,283,1274,30,70,0,0,0,Ytfukt
21,1.7,86,S1,PG,T24,315,536,90,10,0,0,0,
22,0.7,,,,,,,,,,,,
23,0.7,6,R1,PG,T22,5,4,80,10,10,0,0,Älgskador
24,3.5,6,R1,PG,G24,1,4,10,70,20,0,0,
25,3.9,116,S2,PG,T20,273,1065,10,80,10,0,0,
26,10.2,76,S1,PG,T26,306,3121,80,20,0,0,0,
27,1.7,101,S2,PG,T26,353,600,50,50,0,0,0,
28,5.4,,,,,,,,,,,,
29,2.9,21,R2,PG,T22,61,179,70,10,20,0,0,Omfattande älgskador
30,9.6,111,S2,PG,T24,353,3389,30,70,0,0,0,
31,2.3,96,S2,PG,T24,314,722,90,10,0,0,0,
32,2.2,31,G1,PG,T22,83,183,80,20,0,0,0,
33,1.8,43,G1,PG,T24,227,409,70,30,0,0,0,
34,1.9,21,R2,PG,G22,60,113,20,60,20,0,0,Delvis försumpat. två diken/bäckar
101,2,16,R2,PG,T22,5,10,90,10,0,0,0,Älgskador
102,0.2,101,S3,NO,,0,0,10,80,10,,0,Barrsumpskog
103,0.9,,,,,,,,,,,,
104,5.6,16,R2,PG,T20,0,0,20,40,40,0,0,Ojämnt. älgskador. lövuppslag
105,0.3,111,S3,PG,T20,103,31,80,20,0,0,0,Tekniskt impediment (svåravverkat)